АВС/ DEF;От;До;Емкость;Оператор;Регион;ИНН
911;0000000;0399999;400000;ПАО "Мобильные ТелеСистемы";г. Санкт-Петербург и Ленинградская область;7740000076
911;0400000;0449999;50000;ПАО "Мобильные ТелеСистемы";Новгородская обл.;7740000076
911;0450000;0499999;50000;ПАО "Мобильные ТелеСистемы";Вологодская обл.;7740000076
911;0500000;0549999;50000;ПАО "Мобильные ТелеСистемы";Республика Карелия;7740000076
911;0550000;0599999;50000;ПАО "Мобильные ТелеСистемы";Архангельская обл.;7740000076
911;0600000;0649999;50000;ПАО "Мобильные ТелеСистемы";Мурманская обл.;7740000076
911;0650000;0699999;50000;ПАО "Мобильные ТелеСистемы";Ненецкий АО;7740000076
911;0700000;0749999;50000;ПАО "Мобильные ТелеСистемы";Калининградская обл.;7740000076
911;0750000;0799999;50000;ПАО "Мобильные ТелеСистемы";Псковская обл.;7740000076
911;0800000;2999999;2200000;ПАО "Мобильные ТелеСистемы";г. Санкт-Петербург и Ленинградская область;7740000076
911;3000000;3499999;500000;ПАО "Мобильные ТелеСистемы";Мурманская обл.;7740000076
911;3500000;3999999;500000;ПАО "Мобильные ТелеСистемы";Псковская обл.;7740000076
911;4000000;4399999;400000;ПАО "Мобильные ТелеСистемы";Республика Карелия;7740000076
911;4400000;4499999;100000;ПАО "Мобильные ТелеСистемы";Вологодская обл.;7740000076
911;4500000;4999999;500000;ПАО "Мобильные ТелеСистемы";Калининградская обл.;7740000076
911;5000000;5499999;500000;ПАО "Мобильные ТелеСистемы";Вологодская обл.;7740000076
911;5500000;5999999;500000;ПАО "Мобильные ТелеСистемы";Архангельская обл.;7740000076
911;6000000;6499999;500000;ПАО "Мобильные ТелеСистемы";Новгородская обл.;7740000076
911;6500000;6549999;50000;ПАО "Мобильные ТелеСистемы";Ненецкий АО;7740000076
911;6550000;6599999;50000;ПАО "Мобильные ТелеСистемы";Архангельская обл.;7740000076
911;6600000;6699999;100000;ПАО "Мобильные ТелеСистемы";Республика Карелия;7740000076
911;6700000;6899999;200000;ПАО "Мобильные ТелеСистемы";Архангельская обл.;7740000076
911;6900000;6999999;100000;ПАО "Мобильные ТелеСистемы";Псковская обл.;7740000076
911;7000000;7999999;1000000;ПАО "Мобильные ТелеСистемы";г. Санкт-Петербург и Ленинградская область;7740000076
911;8000000;8099999;100000;ПАО "Мобильные ТелеСистемы";Мурманская обл.;7740000076
911;8100000;8499999;400000;ПАО "Мобильные ТелеСистемы";г. Санкт-Петербург и Ленинградская область;7740000076
911;8500000;8699999;200000;ПАО "Мобильные ТелеСистемы";Калининградская обл.;7740000076
911;8700000;8799999;100000;ПАО "Мобильные ТелеСистемы";Архангельская обл.;7740000076
911;8800000;8999999;200000;ПАО "Мобильные ТелеСистемы";Псковская обл.;7740000076
911;9000000;9999999;1000000;ПАО "Мобильные ТелеСистемы";г. Санкт-Петербург и Ленинградская область;7740000076
